,element,count,ncif,min,max,mean,stddev,e1,e2,z1,z2
673,Ga-Mn,64,44,2.1042,2.8643,2.562,0.192,Ga,Mn,25,31
674,Ga-N,2527,817,1.6657,2.3643,2.007,0.088,Ga,N,7,31
675,Ga-Na,119,32,2.636,3.1378,3.05,0.087,Ga,Na,11,31
676,Ga-Ni,195,79,2.1909,2.8374,2.448,0.139,Ga,Ni,28,31
677,Ga-O,6914,1247,1.5034,2.3425,1.909,0.095,Ga,O,8,31
678,Ga-P,305,114,2.226,2.7335,2.386,0.069,Ga,P,15,31
679,Ga-S,1688,258,2.0211,2.6687,2.292,0.059,Ga,S,16,31
680,Ga-Sc,1,1,2.1671,2.1671,2.167,0.0,Ga,Sc,21,31
681,Ga-Si,52,29,2.0409,2.7908,2.499,0.161,Ga,Si,14,31
682,Ga-Ti,3,2,2.453,2.4922,2.474,0.016,Ga,Ti,22,31
683,Ga-V,45,21,2.3818,2.8456,2.623,0.1,Ga,V,23,31
684,Ga-Zn,49,22,2.3231,2.9509,2.672,0.206,Ga,Zn,30,31
685,Ag-Gd,32,16,3.0159,3.4582,3.204,0.095,Ag,Gd,47,64
686,Al-Gd,69,30,2.9308,3.2908,3.159,0.083,Al,Gd,13,64
687,As-Gd,13,7,2.8715,3.1621,2.959,0.089,As,Gd,33,64
688,B-Gd,76,26,2.4577,2.8584,2.715,0.097,B,Gd,5,64
689,Ba-Gd,2,2,3.4422,3.4823,3.462,0.02,Ba,Gd,56,64
690,Br-Gd,139,16,2.6828,3.1958,2.952,0.1,Br,Gd,35,64
691,C-Gd,2359,450,1.9547,3.038,2.729,0.191,C,Gd,6,64
692,Ca-Gd,2,2,3.3085,3.4628,3.386,0.077,Ca,Gd,20,64
693,Cd-Gd,7,3,3.2366,3.6398,3.511,0.165,Cd,Gd,48,64
694,Cl-Gd,177,58,2.3816,3.0549,2.767,0.12,Cl,Gd,17,64
695,Co-Gd,82,52,2.4641,3.2685,3.059,0.18,Co,Gd,27,64
696,Cr-Gd,3,3,3.1575,3.2906,3.223,0.054,Cr,Gd,24,64
697,Cu-Gd,77,58,2.8756,3.2787,3.178,0.104,Cu,Gd,29,64
698,Eu-Gd,12,4,3.6823,4.0729,3.869,0.108,Eu,Gd,63,64
699,F-Gd,206,35,2.0128,2.7464,2.344,0.109,F,Gd,9,64
700,Fe-Gd,64,31,2.8234,3.2735,3.075,0.135,Fe,Gd,26,64
701,Ga-Gd,59,25,2.4139,3.3825,3.114,0.167,Ga,Gd,31,64
702,Gd-Gd,781,259,2.6425,3.7994,3.629,0.193,Gd,Gd,64,64
703,Gd-Ge,359,128,2.4336,3.3176,3.04,0.135,Gd,Ge,32,64
704,Gd-H,22,15,1.5922,2.2646,2.054,0.156,Gd,H,1,64
705,Gd-I,11,6,2.9804,3.1829,3.074,0.063,Gd,I,53,64
706,Gd-In,27,17,3.1617,3.5588,3.319,0.106,Gd,In,49,64
707,Gd-K,2,2,2.7203,3.2185,2.969,0.249,Gd,K,19,64
708,Gd-La,8,7,3.5594,3.8861,3.694,0.122,Gd,La,57,64
709,Gd-Mg,24,13,3.1653,3.4908,3.342,0.078,Gd,Mg,12,64
710,Gd-Mn,32,24,2.5437,3.278,3.144,0.164,Gd,Mn,25,64
711,Gd-Mo,7,4,3.1338,3.3886,3.284,0.091,Gd,Mo,42,64
712,Gd-N,1819,564,1.9792,2.7779,2.544,0.112,Gd,N,7,64
713,Gd-Na,10,9,3.3149,3.5481,3.464,0.079,Gd,Na,11,64
714,Gd-Nb,5,5,3.3596,3.4669,3.421,0.036,Gd,Nb,41,64
715,Gd-Nd,4,3,3.2438,3.8171,3.576,0.208,Gd,Nd,60,64
716,Gd-Ni,117,54,2.466,3.2545,3.015,0.143,Gd,Ni,28,64
717,Gd-O,20094,1929,1.9345,2.761,2.414,0.087,Gd,O,8,64
718,Gd-P,59,22,2.832,3.1361,2.996,0.094,Gd,P,15,64
719,Gd-Pd,16,14,2.8723,3.3542,3.012,0.129,Gd,Pd,46,64
720,Gd-Pr,2,1,3.6601,3.6601,3.66,0.0,Gd,Pr,59,64
721,Gd-Rh,10,8,2.914,3.3634,3.064,0.133,Gd,Rh,45,64
722,Gd-Ru,20,13,2.6065,3.3675,3.171,0.187,Gd,Ru,44,64
723,Gd-S,389,64,2.5926,3.1647,2.859,0.113,Gd,S,16,64
724,Gd-Sb,71,13,3.0658,3.5422,3.244,0.102,Gd,Sb,51,64
725,Gd-Se,96,35,2.626,3.2641,2.954,0.096,Gd,Se,34,64
726,Gd-Si,178,82,2.298,3.207,3.004,0.148,Gd,Si,14,64
727,Gd-Sm,4,1,3.6328,3.735,3.682,0.036,Gd,Sm,62,64
728,Gd-Sn,77,18,2.6657,3.5594,3.23,0.166,Gd,Sn,50,64
729,Gd-Te,76,26,2.9611,3.501,3.159,0.139,Gd,Te,52,64
730,Gd-Ti,7,7,2.4367,2.9598,2.666,0.203,Gd,Ti,22,64
731,Gd-V,3,3,3.165,3.2794,3.21,0.05,Gd,V,23,64
732,Gd-Y,20,9,3.5118,3.6342,3.609,0.036,Gd,Y,39,64
733,Gd-Zn,76,26,2.7218,3.3729,3.17,0.156,Gd,Zn,30,64
734,Al-Ge,98,59,2.1053,2.7764,2.51,0.214,Al,Ge,13,32
735,B-Ge,190,45,1.722,2.3969,2.166,0.12,B,Ge,5,32
736,C-Ge,3238,921,1.761,2.3271,1.969,0.047,C,Ge,6,32
737,Ca-Ge,67,43,2.3295,3.0908,3.006,0.154,Ca,Ge,20,32
738,Cl-Ge,473,241,2.0901,2.5963,2.258,0.088,Cl,Ge,17,32
739,Co-Ge,112,53,2.2505,2.7686,2.418,0.112,Co,Ge,27,32
740,Cr-Ge,37,20,2.4565,2.8314,2.623,0.098,Cr,Ge,24,32
741,Cu-Ge,94,48,2.2193,2.8056,2.485,0.15,Cu,Ge,29,32
742,F-Ge,192,82,1.6003,2.2543,1.789,0.077,F,Ge,9,32
743,Fe-Ge,418,106,1.9898,2.7146,2.509,0.111,Fe,Ge,26,32
744,Ga-Ge,134,44,2.062,2.9245,2.712,0.179,Ga,Ge,31,32
745,Ge-Ge,4699,1193,2.0044,2.8787,2.58,0.116,Ge,Ge,32,32
746,Ge-H,155,101,1.2801,1.8104,1.512,0.099,Ge,H,1,32
747,Ge-K,2,2,2.4612,2.5713,2.516,0.055,Ge,K,19,32
748,Ge-Li,5,4,1.6369,2.0588,1.796,0.192,Ge,Li,3,32
749,Ge-Mg,114,68,2.6216,3.0431,2.842,0.119,Ge,Mg,12,32
750,Ge-Mn,248,115,2.1152,2.8179,2.587,0.105,Ge,Mn,25,32
751,Ge-N,1589,653,1.6674,2.3241,1.951,0.105,Ge,N,7,32
752,Ge-Na,83,22,2.4427,3.09,2.984,0.108,Ge,Na,11,32
753,Ge-Ni,186,61,2.0836,2.7765,2.42,0.131,Ge,Ni,28,32
754,Ge-O,8662,1337,1.4355,2.2777,1.778,0.08,Ge,O,8,32
755,Ge-P,238,132,2.1749,2.6769,2.425,0.09,Ge,P,15,32
756,Ge-S,1176,320,2.0154,2.6406,2.231,0.074,Ge,S,16,32
757,Ge-Si,593,164,2.0963,2.7455,2.41,0.099,Ge,Si,14,32
758,Ge-Ti,1,1,2.4946,2.4946,2.495,0.0,Ge,Ti,22,32
759,Ge-V,16,13,2.5674,2.879,2.674,0.072,Ge,V,23,32
760,Ge-Zn,119,41,2.2523,2.8936,2.576,0.095,Ge,Zn,30,32
761,H-H,4788,2084,0.5248,0.7551,0.647,0.065,H,H,1,1
762,Al-Hf,6,5,2.8576,2.9784,2.9,0.052,Al,Hf,13,72
763,As-Hf,17,8,2.566,2.9449,2.758,0.104,As,Hf,33,72
764,B-Hf,70,24,2.0737,2.6631,2.499,0.098,B,Hf,5,72
765,Br-Hf,8,5,2.6227,2.8408,2.706,0.065,Br,Hf,35,72
766,C-Hf,2688,321,1.9159,2.6075,2.471,0.106,C,Hf,6,72
767,Ca-Hf,1,1,3.2109,3.2109,3.211,0.0,Ca,Hf,20,72
768,Cd-Hf,2,1,3.2902,3.2941,3.292,0.002,Cd,Hf,48,72
769,Ce-Hf,1,1,3.6161,3.6161,3.616,0.0,Ce,Hf,58,72
770,Cl-Hf,286,122,2.1213,2.8122,2.439,0.08,Cl,Hf,17,72
771,Co-Hf,23,15,2.4554,3.0642,2.789,0.154,Co,Hf,27,72
772,Cu-Hf,25,8,2.6226,3.0253,2.842,0.116,Cu,Hf,29,72
773,F-Hf,149,33,1.9106,2.4543,2.063,0.096,F,Hf,9,72
774,Fe-Hf,27,15,2.6269,3.0631,2.867,0.108,Fe,Hf,26,72
775,Ga-Hf,70,23,2.4832,3.1606,2.861,0.131,Ga,Hf,31,72
776,Ge-Hf,52,23,2.6429,3.0348,2.834,0.09,Ge,Hf,32,72
777,H-Hf,58,29,1.5755,2.0752,1.952,0.116,H,Hf,1,72
778,Hf-Hf,101,49,2.3722,3.3971,3.242,0.134,Hf,Hf,72,72
779,Hf-I,24,13,2.6776,3.0069,2.837,0.089,Hf,I,53,72
780,Hf-In,4,2,2.7664,3.2077,3.026,0.161,Hf,In,49,72
781,Hf-La,2,2,3.4363,3.615,3.526,0.089,Hf,La,57,72
782,Hf-Li,1,1,2.2591,2.2591,2.259,0.0,Hf,Li,3,72
783,Hf-Mg,3,1,2.8879,3.2092,3.005,0.145,Hf,Mg,12,72
784,Hf-Mn,7,4,2.9301,3.055,2.955,0.041,Hf,Mn,25,72
785,Hf-Mo,17,11,2.8837,3.1413,3.076,0.078,Hf,Mo,42,72
786,Hf-N,1032,340,1.7991,2.5405,2.188,0.137,Hf,N,7,72
787,Hf-Na,3,2,3.2346,3.2994,3.26,0.029,Hf,Na,11,72
788,Hf-Nb,2,2,3.0567,3.0746,3.066,0.009,Hf,Nb,41,72
789,Hf-Ni,16,12,2.4123,3.0524,2.784,0.174,Hf,Ni,28,72
790,Hf-O,2469,361,1.8092,2.5378,2.134,0.102,Hf,O,8,72
791,Hf-P,144,65,2.5052,2.9379,2.742,0.088,Hf,P,15,72
792,Hf-Pd,21,8,2.7275,3.1711,2.926,0.119,Hf,Pd,46,72
793,Hf-Rh,14,7,2.5453,3.1344,2.8,0.161,Hf,Rh,45,72
794,Hf-Ru,5,5,2.7401,2.8441,2.803,0.038,Hf,Ru,44,72
795,Hf-S,127,35,2.2471,2.9021,2.648,0.13,Hf,S,16,72
796,Hf-Sb,34,12,2.7459,3.2539,2.951,0.11,Hf,Sb,51,72
797,Hf-Se,52,14,2.3893,2.9619,2.707,0.105,Hf,Se,34,72
798,Hf-Si,39,25,2.6515,2.9943,2.829,0.073,Hf,Si,14,72
799,Hf-Sn,12,9,2.634,3.141,2.896,0.163,Hf,Sn,50,72
800,Hf-Tc,1,1,2.8319,2.8319,2.832,0.0,Hf,Tc,43,72
801,Hf-Te,14,7,2.7377,3.2215,2.934,0.104,Hf,Te,52,72
802,Hf-V,23,18,2.962,3.126,3.068,0.032,Hf,V,23,72
803,Hf-Zn,17,5,2.8767,3.1104,3.003,0.072,Hf,Zn,30,72
804,Ag-Hg,56,19,2.7104,3.3353,3.129,0.166,Ag,Hg,47,80
805,As-Hg,76,21,2.3831,2.7624,2.529,0.085,As,Hg,33,80
806,Au-Hg,16,6,2.7806,3.2971,3.098,0.183,Au,Hg,79,80
807,B-Hg,12,8,2.1153,2.6169,2.262,0.151,B,Hg,5,80
808,Ba-Hg,1,1,2.7839,2.7839,2.784,0.0,Ba,Hg,56,80
809,Br-Hg,758,303,2.2028,3.0993,2.584,0.169,Br,Hg,35,80
810,C-Hg,1172,420,1.8807,2.3414,2.076,0.035,C,Hg,6,80
811,Ca-Hg,33,6,3.1351,3.4052,3.308,0.068,Ca,Hg,20,80
812,Cd-Hg,3,2,3.4075,3.4824,3.455,0.034,Cd,Hg,48,80
813,Ce-Hg,2,2,3.2978,3.3578,3.328,0.03,Ce,Hg,58,80
814,Cl-Hg,1532,597,2.2078,2.9245,2.465,0.167,Cl,Hg,17,80
815,Co-Hg,7,4,2.4992,3.1001,2.652,0.236,Co,Hg,27,80
816,Cr-Hg,1,1,2.6948,2.6948,2.695,0.0,Cr,Hg,24,80
817,Cs-Hg,1,1,3.6786,3.6786,3.679,0.0,Cs,Hg,55,80
818,Cu-Hg,12,8,2.6652,3.1311,2.927,0.158,Cu,Hg,29,80
819,Dy-Hg,2,2,3.1835,3.2791,3.231,0.048,Dy,Hg,66,80
820,Er-Hg,5,3,3.1567,3.5976,3.434,0.189,Er,Hg,68,80
821,Eu-Hg,2,2,3.3602,3.4156,3.388,0.028,Eu,Hg,63,80
822,F-Hg,65,31,2.0919,2.7161,2.489,0.164,F,Hg,9,80
823,Fe-Hg,19,8,2.358,2.743,2.575,0.103,Fe,Hg,26,80
824,Ga-Hg,1,1,2.4762,2.4762,2.476,0.0,Ga,Hg,31,80
825,Gd-Hg,1,1,3.2207,3.2207,3.221,0.0,Gd,Hg,64,80
826,Ge-Hg,14,5,2.2884,3.1803,2.794,0.223,Ge,Hg,32,80
827,H-Hg,2,2,1.4979,1.8535,1.676,0.178,H,Hg,1,80
828,Hf-Hg,1,1,3.0181,3.0181,3.018,0.0,Hf,Hg,72,80
829,Hg-Hg,323,125,2.482,3.5155,3.116,0.316,Hg,Hg,80,80
830,Hg-Ho,4,4,3.1575,3.5565,3.288,0.161,Hg,Ho,67,80
831,Hg-I,863,311,2.3157,3.3213,2.76,0.163,Hg,I,53,80
832,Hg-In,5,5,3.001,3.0305,3.012,0.01,Hg,In,49,80
833,Hg-Ir,2,2,2.5906,2.6149,2.603,0.012,Hg,Ir,77,80
834,Hg-La,6,6,3.3014,3.7382,3.47,0.184,Hg,La,57,80
835,Hg-Lu,3,2,3.1238,3.5984,3.43,0.217,Hg,Lu,71,80
836,Hg-Mg,15,8,2.6781,3.1347,2.931,0.114,Hg,Mg,12,80
837,Hg-Mn,10,9,2.6074,2.9012,2.773,0.117,Hg,Mn,25,80
838,Hg-Mo,6,4,2.6809,2.8268,2.742,0.062,Hg,Mo,42,80
839,Hg-N,1539,745,1.9735,2.6426,2.373,0.139,Hg,N,7,80
840,Hg-Na,14,7,3.1304,3.3839,3.254,0.089,Hg,Na,11,80
841,Hg-Nd,2,2,3.2618,3.2727,3.267,0.005,Hg,Nd,60,80
842,Hg-Ni,7,4,2.63,2.7552,2.655,0.042,Hg,Ni,28,80
843,Hg-O,1166,464,1.8074,2.6196,2.26,0.199,Hg,O,8,80
844,Hg-P,192,75,2.3051,2.8066,2.458,0.07,Hg,P,15,80
845,Hg-Pd,31,15,2.583,3.2207,2.964,0.196,Hg,Pd,46,80
846,Hg-Pr,4,4,3.29,3.4262,3.384,0.056,Hg,Pr,59,80
847,Hg-Pt,58,34,2.5128,3.2872,2.811,0.219,Hg,Pt,78,80
848,Hg-Re,23,8,2.7993,3.1874,2.896,0.086,Hg,Re,75,80
849,Hg-Rh,19,7,2.6408,2.7435,2.711,0.032,Hg,Rh,45,80
850,Hg-Ru,2,2,2.7075,2.7952,2.751,0.044,Hg,Ru,44,80
851,Hg-S,1327,502,2.215,2.9616,2.502,0.145,Hg,S,16,80
852,Hg-Sb,22,12,2.6013,3.3928,2.847,0.25,Hg,Sb,51,80
853,Hg-Se,443,128,2.1882,3.1162,2.617,0.12,Hg,Se,34,80
854,Hg-Si,18,7,2.2169,2.6184,2.485,0.076,Hg,Si,14,80
855,Hg-Sm,1,1,3.238,3.238,3.238,0.0,Hg,Sm,62,80
856,Hg-Sn,6,4,2.7158,3.3049,2.911,0.194,Hg,Sn,50,80
857,Hg-Sr,2,2,2.4675,2.4687,2.468,0.001,Hg,Sr,38,80
858,Hg-Tb,2,2,3.1852,3.1956,3.19,0.005,Hg,Tb,65,80
859,Hg-Te,209,53,2.5259,3.3391,2.775,0.103,Hg,Te,52,80
860,Hg-Ti,2,2,2.0805,2.6652,2.373,0.292,Hg,Ti,22,80
861,Hg-Tm,4,2,3.1454,3.5973,3.475,0.191,Hg,Tm,69,80
862,Hg-Xe,1,1,2.7693,2.7693,2.769,0.0,Hg,Xe,54,80
863,Hg-Y,4,4,3.187,3.2732,3.23,0.042,Hg,Y,39,80
864,Hg-Yb,4,4,3.2311,3.3892,3.279,0.065,Hg,Yb,70,80
865,Hg-Zn,2,2,2.4846,2.8936,2.689,0.204,Hg,Zn,30,80
866,Ag-Ho,10,9,2.9848,3.4385,3.144,0.151,Ag,Ho,47,67
867,Al-Ho,31,17,2.7647,3.2502,3.057,0.123,Al,Ho,13,67
868,As-Ho,8,7,2.8655,3.0561,2.957,0.073,As,Ho,33,67
869,B-Ho,86,26,2.4191,2.8166,2.687,0.074,B,Ho,5,67
870,Ba-Ho,4,4,3.3707,3.4434,3.407,0.027,Ba,Ho,56,67
871,Br-Ho,4,2,2.6871,2.8694,2.803,0.07,Br,Ho,35,67
872,C-Ho,403,58,2.3554,2.7707,2.633,0.082,C,Ho,6,67
873,Ca-Ho,2,1,3.5041,3.5041,3.504,0.0,Ca,Ho,20,67
874,Cd-Ho,1,1,3.1311,3.1311,3.131,0.0,Cd,Ho,48,67
875,Cl-Ho,56,25,2.554,2.9561,2.697,0.09,Cl,Ho,17,67
876,Co-Ho,55,27,2.4298,3.2316,2.971,0.174,Co,Ho,27,67
877,Cr-Ho,2,2,2.9322,3.1275,3.03,0.098,Cr,Ho,24,67
878,Cu-Ho,42,34,2.8407,3.2439,3.125,0.101,Cu,Ho,29,67
879,F-Ho,133,14,1.9788,2.5789,2.283,0.089,F,Ho,9,67
880,Fe-Ho,102,37,2.4016,3.2438,3.008,0.199,Fe,Ho,26,67
881,Ga-Ho,51,27,2.9172,3.346,3.116,0.126,Ga,Ho,31,67
882,Ge-Ho,68,35,2.7969,3.269,3.019,0.098,Ge,Ho,32,67
883,H-Ho,42,14,1.6174,2.2418,2.1,0.148,H,Ho,1,67
884,Ho-Ho,201,97,2.6344,3.7262,3.534,0.147,Ho,Ho,67,67
885,Ho-I,9,4,2.9358,3.3582,3.081,0.113,Ho,I,53,67
886,Ho-In,24,15,3.0705,3.4936,3.275,0.096,Ho,In,49,67
887,Ho-La,1,1,3.5694,3.5694,3.569,0.0,Ho,La,57,67
888,Ho-Mg,12,12,3.0255,3.3824,3.293,0.093,Ho,Mg,12,67
889,Ho-Mn,23,15,2.8643,3.2357,3.09,0.076,Ho,Mn,25,67
890,Ho-Mo,8,5,3.0988,3.3159,3.202,0.068,Ho,Mo,42,67
891,Ho-N,683,212,2.154,2.7192,2.502,0.087,Ho,N,7,67
892,Ho-Nb,1,1,3.4133,3.4133,3.413,0.0,Ho,Nb,41,67
893,Ho-Ni,88,38,2.6694,3.2202,2.945,0.127,Ho,Ni,28,67
894,Ho-O,5406,647,1.8946,2.7249,2.361,0.089,Ho,O,8,67
895,Ho-P,18,11,2.7074,3.0941,2.942,0.118,Ho,P,15,67
896,Ho-Pd,17,17,2.8634,3.3354,3.048,0.158,Ho,Pd,46,67
897,Ho-Pr,2,1,3.593,3.593,3.593,0.0,Ho,Pr,59,67
898,Ho-Rh,15,12,2.8617,3.1879,3.015,0.097,Ho,Rh,45,67
899,Ho-Ru,9,9,2.8912,3.1562,3.049,0.091,Ho,Ru,44,67
900,Ho-S,409,40,2.4725,3.0673,2.797,0.086,Ho,S,16,67
901,Ho-Sb,52,15,3.0626,3.451,3.211,0.1,Ho,Sb,51,67
902,Ho-Se,62,16,2.5688,3.0504,2.861,0.075,Ho,Se,34,67
903,Ho-Si,39,23,2.8344,3.1679,3.028,0.087,Ho,Si,14,67
904,Ho-Sn,19,11,3.0698,3.3882,3.165,0.095,Ho,Sn,50,67
905,Ho-Sr,1,1,3.1924,3.1924,3.192,0.0,Ho,Sr,38,67
906,Ho-Te,90,20,2.9445,3.4084,3.098,0.101,Ho,Te,52,67
907,Ho-V,3,3,3.125,3.2824,3.185,0.07,Ho,V,23,67
908,Ho-Zn,63,13,2.8299,3.3162,3.125,0.108,Ho,Zn,30,67
909,Fe-Hs,1,1,2.5823,2.5823,2.582,0.0,Fe,Hs,26,108
910,Ag-I,2399,331,2.312,3.1503,2.867,0.099,Ag,I,47,53
911,Al-I,86,32,2.4588,2.8232,2.549,0.071,Al,I,13,53
912,As-I,63,29,2.509,2.9608,2.662,0.107,As,I,33,53
913,Ca-I,69,47,2.8257,3.5077,3.157,0.116,Ca,I,20,53
914,Cd-I,829,255,2.4636,3.3011,2.854,0.131,Cd,I,48,53
915,Co-I,207,117,2.4739,2.9339,2.612,0.097,Co,I,27,53
916,Cr-I,52,34,2.3945,2.9464,2.723,0.092,Cr,I,24,53
917,Cu-I,6319,1221,2.0575,2.9496,2.656,0.088,Cu,I,29,53
918,Fe-I,175,112,2.4475,2.9088,2.639,0.073,Fe,I,26,53
919,Ga-I,312,104,2.3825,2.8513,2.568,0.079,Ga,I,31,53
920,Ge-I,74,39,2.5047,2.997,2.668,0.13,Ge,I,32,53
921,H-I,55,16,1.358,1.934,1.519,0.162,H,I,1,53
922,I-I,1994,779,2.1839,3.2165,2.882,0.144,I,I,53,53
923,I-In,129,64,2.5431,3.2502,2.777,0.122,I,In,49,53
924,I-K,387,126,2.9472,3.9352,3.709,0.162,I,K,19,53
925,I-Li,136,63,2.7841,3.3782,2.978,0.168,I,Li,3,53
926,I-Mg,15,13,2.6695,3.1642,2.815,0.123,I,Mg,12,53
927,I-Mn,72,37,2.5849,3.0141,2.822,0.102,I,Mn,25,53
928,I-Mo,395,81,2.6507,3.1496,2.806,0.06,I,Mo,42,53
929,I-Na,92,54,2.4971,3.7161,3.312,0.235,I,Na,11,53
930,I-Nb,144,24,2.5371,3.1476,2.863,0.1,I,Nb,41,53
931,I-Ni,213,121,2.3336,2.9486,2.631,0.149,I,Ni,28,53
932,I-Pd,822,434,2.4494,3.0454,2.638,0.059,I,Pd,46,53
933,I-Rb,206,47,3.2721,4.0196,3.805,0.14,I,Rb,37,53
934,I-Rh,352,191,2.4311,3.0019,2.703,0.074,I,Rh,45,53
935,I-Ru,179,110,2.5927,2.9637,2.734,0.063,I,Ru,44,53
936,I-Sb,205,52,2.708,3.3705,3.021,0.188,I,Sb,51,53
937,I-Se,46,29,2.4464,2.9102,2.728,0.136,I,Se,34,53
938,I-Si,49,22,2.3425,2.6287,2.476,0.057,I,Si,14,53
939,I-Sn,400,134,2.4758,3.2258,2.966,0.183,I,Sn,50,53
940,I-Sr,86,38,2.6486,3.3542,3.2,0.141,I,Sr,38,53
941,I-Tc,22,4,2.503,3.0114,2.675,0.109,I,Tc,43,53
942,I-Te,250,85,2.6172,3.2245,2.916,0.129,I,Te,52,53
943,I-Ti,9,3,2.1464,2.6246,2.504,0.134,I,Ti,22,53
944,I-V,8,5,2.628,2.9194,2.816,0.078,I,V,23,53
945,I-Y,101,29,2.9008,3.318,3.075,0.099,I,Y,39,53
946,I-Zn,904,256,2.1285,3.0382,2.558,0.09,I,Zn,30,53
947,I-Zr,217,51,2.6117,3.1361,2.882,0.093,I,Zr,40,53
948,Ag-In,38,30,2.3216,3.2052,2.937,0.136,Ag,In,47,49
949,Al-In,1,1,2.8425,2.8425,2.843,0.0,Al,In,13,49
950,As-In,128,28,2.5704,2.9494,2.721,0.087,As,In,33,49
951,B-In,14,9,2.2314,2.6432,2.333,0.121,B,In,5,49
952,Br-In,275,84,2.1662,3.0347,2.59,0.119,Br,In,35,49
953,C-In,593,230,1.853,2.6074,2.212,0.122,C,In,6,49
954,Ca-In,44,21,2.9397,3.34,3.229,0.072,Ca,In,20,49
955,Cd-In,1,1,3.3498,3.3498,3.35,0.0,Cd,In,48,49
956,Cl-In,786,249,2.0185,2.8602,2.473,0.104,Cl,In,17,49
957,Co-In,36,18,2.1939,2.9516,2.646,0.125,Co,In,27,49
958,Cu-In,129,59,2.1815,3.076,2.805,0.138,Cu,In,29,49
959,F-In,241,53,1.9105,2.5354,2.091,0.093,F,In,9,49
960,Fe-In,41,20,2.4595,2.6555,2.549,0.047,Fe,In,26,49
961,Ga-In,5,4,2.6207,2.863,2.698,0.088,Ga,In,31,49
962,Ge-In,93,64,2.5335,3.1202,2.882,0.115,Ge,In,32,49
963,H-In,17,6,1.6057,2.0724,1.758,0.131,H,In,1,49
964,In-In,593,235,2.4079,3.3977,3.07,0.204,In,In,49,49
965,In-K,3,2,2.5398,3.064,2.857,0.228,In,K,19,49
966,In-Mg,58,22,2.7018,3.2972,3.085,0.147,In,Mg,12,49
967,In-Mn,6,3,2.6582,2.6778,2.667,0.007,In,Mn,25,49
968,In-Mo,5,5,2.7639,2.8623,2.811,0.033,In,Mo,42,49
969,In-N,1241,426,1.9276,2.5668,2.264,0.097,In,N,7,49
970,In-Na,32,23,2.8652,3.351,3.247,0.109,In,Na,11,49
971,In-Nb,2,2,2.9645,3.2678,3.116,0.152,In,Nb,41,49
972,In-Ni,136,55,2.27,2.9814,2.696,0.145,In,Ni,28,49
973,In-O,4677,954,1.7903,2.5593,2.173,0.099,In,O,8,49
974,In-P,129,59,2.4212,2.9264,2.641,0.096,In,P,15,49
975,In-Pd,115,25,2.5842,2.9593,2.782,0.07,In,Pd,46,49
976,In-Rh,48,29,2.4255,2.9585,2.704,0.134,In,Rh,45,49
977,In-Ru,8,4,2.5097,2.7882,2.614,0.085,In,Ru,44,49
978,In-S,3994,361,2.1464,2.9025,2.492,0.094,In,S,16,49
979,In-Se,1223,163,2.2794,3.0662,2.613,0.097,In,Se,34,49
980,In-Si,34,10,2.5677,2.9752,2.653,0.112,In,Si,14,49
981,In-Ti,1,1,2.6685,2.6685,2.668,0.0,In,Ti,22,49
982,In-Y,21,10,3.0869,3.5006,3.279,0.121,In,Y,39,49
983,In-Zn,10,5,2.6157,3.1628,2.887,0.174,In,Zn,30,49
984,Ag-Ir,28,13,2.6074,3.006,2.831,0.091,Ag,Ir,47,77
985,Al-Ir,64,7,2.4509,2.8445,2.601,0.089,Al,Ir,13,77
986,As-Ir,22,5,2.3536,2.5593,2.439,0.059,As,Ir,33,77
987,B-Ir,671,215,1.7178,2.5236,2.181,0.103,B,Ir,5,77
988,Br-Ir,122,63,2.4089,2.7021,2.528,0.068,Br,Ir,35,77
989,C-Ir,21050,4066,1.6746,2.4026,2.122,0.114,C,Ir,6,77
990,Ca-Ir,36,29,2.7189,3.1502,3.034,0.111,Ca,Ir,20,77
991,Ce-Ir,28,18,2.8049,3.4376,3.174,0.15,Ce,Ir,58,77
992,Cl-Ir,1858,1150,2.1473,2.6667,2.416,0.061,Cl,Ir,17,77
993,Co-Ir,38,15,2.3879,2.8487,2.603,0.083,Co,Ir,27,77
994,Cr-Ir,4,4,2.6064,2.619,2.613,0.005,Cr,Ir,24,77
995,Cu-Ir,12,6,2.6047,2.8595,2.715,0.065,Cu,Ir,29,77
996,Dy-Ir,3,3,2.7167,3.1976,2.946,0.197,Dy,Ir,66,77
997,Er-Ir,15,6,2.9974,3.3046,3.157,0.096,Er,Ir,68,77
998,Eu-Ir,12,12,2.8992,3.2887,3.175,0.109,Eu,Ir,63,77
999,F-Ir,58,28,1.8113,2.4914,1.986,0.119,F,Ir,9,77
1000,Fe-Ir,28,15,2.5561,2.8626,2.719,0.077,Fe,Ir,26,77
1001,Ga-Ir,29,13,2.3806,2.9483,2.559,0.116,Ga,Ir,31,77
1002,Gd-Ir,2,2,3.0384,3.1301,3.084,0.046,Gd,Ir,64,77
1003,Ge-Ir,170,55,2.2404,2.7502,2.503,0.063,Ge,Ir,32,77
1004,H-Ir,1112,635,1.3031,1.9026,1.589,0.126,H,Ir,1,77
1005,Hf-Ir,8,7,2.5689,2.9997,2.789,0.124,Hf,Ir,72,77
1006,Ho-Ir,6,6,2.9298,3.1581,3.077,0.079,Ho,Ir,67,77
1007,I-Ir,248,136,2.4911,2.9794,2.716,0.065,I,Ir,53,77
